SUCONAME,SUBDSTCODE,DISTCODE,DISTNAME,SUBDISTRCT,SUCOCODE,REGION
Holpilat,504,5,Covalima,Maucatar,50401,4
Nipani,1201,12,Oecusse,Pante Macasar,120101,5
Fatumea,502,5,Covalima,Fatumean,50201,4
Fatululic,501,5,Covalima,Fatululic,50101,4
Taroman,501,5,Covalima,Fatululic,50102,4
Belulic Leten,502,5,Covalima,Fatumean,50202,4
Costa,1201,12,Oecusse,Pante Macasar,120104,5
Labarai,505,5,Covalima,Suai,50505,4
Dato Rua,503,5,Covalima,Forohem,50303,4
Lifau,1201,12,Oecusse,Pante Macasar,120102,5
Dato Tolu,503,5,Covalima,Forohem,50304,4
Belecasac,504,5,Covalima,Maucatar,50404,4
Lactos,503,5,Covalima,Forohem,50302,4
Lalisuc,1201,12,Oecusse,Pante Macasar,120106,5
Taiboco,1201,12,Oecusse,Pante Macasar,120105,5
Ogues,504,5,Covalima,Maucatar,50402,4
Suni-Ufe,1202,12,Oecusse,Nitibe,120203,5
Bobocase,1201,12,Oecusse,Pante Macasar,120107,5
Cunha,1201,12,Oecusse,Pante Macasar,120103,5
Nanu,502,5,Covalima,Fatumean,50203,4
Fohoren,503,5,Covalima,Forohem,50301,4
Matai,504,5,Covalima,Maucatar,50403,4
Camenaça,505,5,Covalima,Suai,50504,4
Naimeco,1201,12,Oecusse,Pante Macasar,120108,5
Debos,505,5,Covalima,Suai,50502,4
Usi-Taco,1202,12,Oecusse,Nitibe,120201,5
Bobometo,1203,12,Oecusse,Oesilo,120301,5
Foholulic,506,5,Covalima,Tilomar,50601,4
Bene-Ufe,1202,12,Oecusse,Nitibe,120202,5
Lalawa,506,5,Covalima,Tilomar,50602,4
Lela-Ufe,1202,12,Oecusse,Nitibe,120204,5
Usi-Tacae,1203,12,Oecusse,Oesilo,120303,5
Maudemo,506,5,Covalima,Tilomar,50603,4
Suai Loro,505,5,Covalima,Suai,50503,4
Casabauc,506,5,Covalima,Tilomar,50604,4
Banafi,1202,12,Oecusse,Nitibe,120205,5
Usi-Taqueno,1203,12,Oecusse,Oesilo,120302,5
Malelat,1204,12,Oecusse,Passabe,120402,5
Abani,1204,12,Oecusse,Passabe,120401,5
