provider,provider_code,provider_name,provider_post,provider_mun,canonical_pcode,canonical_name,subdstcode,distcode,distname,subdistrct,region,status,score,note
intl2024,050317,Tapo,Bobonaro,Bobonaro,40616,Tapo,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050318,Tebabui,Bobonaro,Bobonaro,40617,Tebabui,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,050307,Ilat-Laun,Bobonaro,Bobonaro,40618,Ilat-Laun,406,4,Bobonaro,Bobonaro,4,matched,1.00,
intl2024,060101,Fatululic,Fatululic,Covalima,50101,Fatululic,501,5,Covalima,Fatululic,4,matched,1.00,
intl2024,060102,Taroman,Fatululic,Covalima,50102,Taroman,501,5,Covalima,Fatululic,4,matched,1.00,
intl2024,060202,Fatumea,Fatumean,Covalima,50201,Fatumea,502,5,Covalima,Fatumean,4,matched,1.00,
intl2024,060201,Belulic Leten,Fatumean,Covalima,50202,Belulic Leten,502,5,Covalima,Fatumean,4,matched,1.00,
intl2024,060203,Nanu,Fatumean,Covalima,50203,Nanu,502,5,Covalima,Fatumean,4,matched,1.00,
intl2024,060303,Fohoren,Fohorem,Covalima,50301,Fohoren,503,5,Covalima,Forohem,4,matched,1.00,
intl2024,060304,Lactos,Fohorem,Covalima,50302,Lactos,503,5,Covalima,Forohem,4,matched,1.00,
intl2024,060301,Dato Rua,Fohorem,Covalima,50303,Dato Rua,503,5,Covalima,Forohem,4,matched,1.00,
intl2024,060302,Dato Tolu,Fohorem,Covalima,50304,Dato Tolu,503,5,Covalima,Forohem,4,matched,1.00,
intl2024,060402,Holpilat,Maucatar,Covalima,50401,Holpilat,504,5,Covalima,Maucatar,4,matched,1.00,
intl2024,060404,Ogues,Maucatar,Covalima,50402,Ogues,504,5,Covalima,Maucatar,4,matched,1.00,
intl2024,060403,Matai,Maucatar,Covalima,50403,Matai,504,5,Covalima,Maucatar,4,matched,1.00,
intl2024,060401,Belecasac,Maucatar,Covalima,50404,Belecasac,504,5,Covalima,Maucatar,4,matched,1.00,
intl2024,060501,Beco,Suai,Covalima,50501,Beco,505,5,Covalima,Suai,4,matched,1.00,
intl2024,060503,Debos,Suai,Covalima,50502,Debos,505,5,Covalima,Suai,4,matched,1.00,
intl2024,060505,Suai Loro,Suai,Covalima,50503,Suai Loro,505,5,Covalima,Suai,4,matched,1.00,
intl2024,060502,Camenaça,Suai,Covalima,50504,Camenaça,505,5,Covalima,Suai,4,matched,1.00,
intl2024,060504,Labarai,Suai,Covalima,50505,Labarai,505,5,Covalima,Suai,4,matched,1.00,
intl2024,060601,Beiseuc,Tilomar,Covalima,50601,Beiseuc,506,5,Covalima,Tilomar,4,rename,0.55,name~?(0.55); geom-paired
intl2024,060603,Lalawa,Tilomar,Covalima,50602,Lalawa,506,5,Covalima,Tilomar,4,matched,1.00,
intl2024,060604,Maudemo,Tilomar,Covalima,50603,Maudemo,506,5,Covalima,Tilomar,4,matched,1.00,
intl2024,060602,Casabauc,Tilomar,Covalima,50604,Casabauc,506,5,Covalima,Tilomar,4,matched,1.00,
intl2024,060705,Raimea,Zumalai,Covalima,50701,Raimea,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,060708,Zulo,Zumalai,Covalima,50702,Zulo,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,060703,Lour,Zumalai,Covalima,50703,Lour,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,060701,Fatuleto,Zumalai,Covalima,50704,Fatuleto,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,060704,Mape,Zumalai,Covalima,50705,Mape,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,060702,Lepo,Zumalai,Covalima,50706,Lepo,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,060707,Ucecai,Zumalai,Covalima,50707,Ucecai,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,060706,Tashilin,Zumalai,Covalima,50708,Tashilin,507,5,Covalima,Zumalai,4,matched,1.00,
intl2024,070504,Lahane Ocidental,Vera Cruz,Dili,60101,Lahane Ocidental,601,6,Dili,Vera Cruz,3,matched,1.00,
intl2024,070507,Vila Verde,Vera Cruz,Dili,60102,Vila Verde,601,6,Dili,Vera Cruz,3,matched,1.00,
intl2024,070505,Mascarenhas,Vera Cruz,Dili,60103,Macarenhas,601,6,Dili,Vera Cruz,3,matched,0.95,
intl2024,070501,Caicoli,Vera Cruz,Dili,60104,Caicoli,601,6,Dili,Vera Cruz,3,matched,1.00,
intl2024,070502,Colmera,Vera Cruz,Dili,60105,Colmera,601,6,Dili,Vera Cruz,3,matched,1.00,
intl2024,070506,Motael,Vera Cruz,Dili,60106,Motael,601,6,Dili,Vera Cruz,3,matched,1.00,
intl2024,070503,Dare,Vera Cruz,Dili,60107,Dare,601,6,Dili,Vera Cruz,3,matched,1.00,
intl2024,070406,Santa Cruz,Nain Feto,Dili,60201,Santa Cruz,602,6,Dili,Nain Feto,3,matched,1.00,
intl2024,070401,Acadiru Hun,Nain Feto,Dili,60202,Acadiru Hun,602,6,Dili,Nain Feto,3,matched,1.00,
intl2024,070402,Bemori,Nain Feto,Dili,60203,Bemori,602,6,Dili,Nain Feto,3,matched,1.00,
intl2024,070405,Lahane Oriental,Nain Feto,Dili,60204,Lahane Oriental,602,6,Dili,Nain Feto,3,matched,1.00,
intl2024,070403,Bidau Lecidere,Nain Feto,Dili,60205,Bidau Lecidere,602,6,Dili,Nain Feto,3,matched,1.00,
intl2024,070404,Gricenfor,Nain Feto,Dili,60206,Gricenfor,602,6,Dili,Nain Feto,3,matched,1.00,
intl2024,070302,Sabuli,Metinaro,Dili,60301,Sabuli,603,6,Dili,Metinaro,3,matched,1.00,
intl2024,070303,Wenunuk,Metinaro,Dili,60302,Wenunuk,603,6,Dili,Metinaro,3,rename,0.50,name~?(0.50); geom-paired
intl2024,070301,Mantelolão,Metinaro,Dili,60303,Mantelolão,603,6,Dili,Metinaro,3,new,0.50,
intl2024,070204,Fatuhada,Dom Aleixo,Dili,60501,Fatuhada,605,6,Dili,Dom Aleixo,3,matched,1.00,
intl2024,070205,Kampung Alor,Dom Aleixo,Dili,60502,Kampung Alor,605,6,Dili,Dom Aleixo,3,matched,1.00,
intl2024,070203,Comoro,Dom Aleixo,Dili,60503,Comoro,605,6,Dili,Dom Aleixo,3,matched,1.00,
intl2024,070201,Bairro Pite,Dom Aleixo,Dili,60504,Bairro Pite,605,6,Dili,Dom Aleixo,3,matched,1.00,
intl2024,070202,Bebonuk,Dom Aleixo,Dili,60505,Bebonuk,605,6,Dili,Dom Aleixo,3,new,0.46,
intl2024,070206,Madohi,Dom Aleixo,Dili,60506,Madohi,605,6,Dili,Dom Aleixo,3,new,0.55,
intl2024,070207,Manleuana,Dom Aleixo,Dili,60507,Manleuana,605,6,Dili,Dom Aleixo,3,new,0.56,
intl2024,070106,Culu Hun,Cristo Rei,Dili,60601,Culu Hun,606,6,Dili,Cristo Rei,3,matched,1.00,
intl2024,070103,Becora,Cristo Rei,Dili,60602,Becora,606,6,Dili,Cristo Rei,3,matched,1.00,
intl2024,070105,Camea,Cristo Rei,Dili,60603,Camea,606,6,Dili,Cristo Rei,3,matched,1.00,
intl2024,070107,Hera,Cristo Rei,Dili,60604,Hera,606,6,Dili,Cristo Rei,3,matched,1.00,
